phi,label,score
0,reptile,0.9661216139793396
0,animal,0.9056540727615356
0,sketch,0.60009428833446
0,illustration,0.40680305629011043
0,ink,0.3976918724962714
0,drawing,0.38900171897987623
0,art,0.237774512300603
0,black and white,0.18936817894361135
0,bird,0.17478019799508077
1,animal,0.19191086292266846
1,sketch,0.16985537111759186
1,illustration,0.10846024751663208
1,drawing,0.09509622305631638
1,ink,0.07137167453765869
1,bird,0.047228213399648666
1,art,0.04387166351079941
1,black and white,0.03308781608939171
2,animal,0.18781517446041107
2,sketch,0.15278063714504242
2,drawing,0.11241716146469116
2,illustration,0.11226759850978851
2,ink,0.08527594059705734
2,art,0.04705393686890602
2,black and white,0.04202213138341904
3,animal,0.19075243175029755
3,illustration,0.11734512448310852
3,sketch,0.10125067085027695
3,drawing,0.09750618040561676
3,ink,0.08260907232761383
3,art,0.045325521379709244
3,black and white,0.041557036340236664
4,reptile,0.9505327939987183
4,animal,0.8816661238670349
4,crocodilian reptile,0.6511245965957642
4,sketch,0.358673084369282
4,drawing,0.3193805974361005
4,illustration,0.31268154882170607
4,ink,0.1796020932956014
4,owl,0.13748839652038256
4,art,0.13327509384457767
4,bird,0.11419088287636653
4,black and white,0.11372780422334305
5,reptile,0.8879833221435547
5,animal,0.8879833221435547
5,sketch,0.29509012412322044
5,illustration,0.2855982058750138
5,owl,0.24345063715881185
5,drawing,0.23383299925495174
5,bird,0.20955817775602018
5,ink,0.1676209601925572
5,art,0.11873801448134287
5,black and white,0.10759871862775187
6,animal,0.2747865617275238
6,illustration,0.08858674764633179
6,sketch,0.07327993959188461
6,drawing,0.07208400964736938
6,art,0.048515524715185165
6,black and white,0.047614455223083496
6,ink,0.04636315628886223
7,animal,0.13711799681186676
7,illustration,0.11739122867584229
7,sketch,0.10237668454647064
7,drawing,0.09314269572496414
7,ink,0.08971970528364182
7,art,0.06003103777766228
7,black and white,0.043141238391399384
8,animal,0.1640516072511673
8,illustration,0.11745660752058029
8,sketch,0.11384165287017822
8,drawing,0.10749045014381409
8,ink,0.0812758281826973
8,art,0.06780650466680527
8,black and white,0.03836207836866379
8,bird,0.02981681376695633
9,animal,0.1587708443403244
9,illustration,0.13499298691749573
9,sketch,0.09525028616189957
9,drawing,0.09300655871629715
9,ink,0.08559173345565796
9,art,0.08294616639614105
9,black and white,0.03800211846828461
10,illustration,0.15454089641571045
10,animal,0.13248999416828156
10,sketch,0.11514158546924591
10,drawing,0.11185935884714127
10,art,0.07543431967496872
10,ink,0.06873549520969391
10,black and white,0.042764969170093536
11,illustration,0.12211114913225174
11,animal,0.11945252120494843
11,drawing,0.11414153128862381
11,sketch,0.10258811712265015
11,art,0.09245755523443222
11,ink,0.08202104270458221
11,black and white,0.04133699834346771
11,bird,0.03456085920333862
12,animal,0.16813430190086365
12,illustration,0.10453096032142639
12,drawing,0.09180067479610443
12,sketch,0.08228260278701782
12,art,0.08041386306285858
12,owl,0.061797846108675
12,bird,0.046160802245140076
12,black and white,0.04519054666161537
12,ink,0.03566278889775276
12,fish,0.03452450782060623
12,monochrome,0.029713746160268784
13,animal,0.14797165989875793
13,illustration,0.1386984884738922
13,sketch,0.11817248910665512
13,drawing,0.0968189388513565
13,art,0.08105254918336868
13,bird,0.0456809364259243
13,ink,0.04161597788333893
13,fish,0.039437077939510345
13,black and white,0.03499176725745201
14,animal,0.16640932857990265
14,illustration,0.13945372402668
14,sketch,0.12251418083906174
14,drawing,0.10338800400495529
14,art,0.06737255305051804
14,ink,0.04690873250365257
14,fish,0.041236165910959244
14,black and white,0.03573985397815704
14,bird,0.03262276202440262
15,animal,0.8178176879882812
15,illustration,0.3908268847114252
15,sketch,0.3103875909004792
15,fish,0.2594194142435556
15,art,0.23044320811733446
15,drawing,0.22098573509577443
15,owl,0.1880306260406107
15,bird,0.18741996216453316
15,black and white,0.14333237474271865
16,animal,0.8424519896507263
16,illustration,0.4098827209379527
16,fish,0.33798738207773815
16,sketch,0.29395954673834834
16,art,0.2891874739675283
16,drawing,0.2800955590521361
16,black and white,0.18155283100776712
16,owl,0.1791866301120101
16,bird,0.15425110238807316
16,ink,0.14127351700778015
17,animal,0.23217545449733734
17,illustration,0.10739611089229584
17,drawing,0.07812406122684479
17,sketch,0.07106109708547592
17,art,0.06327379494905472
17,bird,0.05607982724905014
17,fish,0.04660549759864807
17,black and white,0.03983810171484947
17,owl,0.03506806120276451
18,linedrawing,0.15143823623657227
18,animal,0.15143823623657227
18,illustration,0.0899610071571326
18,drawing,0.07249128614961631
18,sketch,0.06645662582857921
18,art,0.05827288689098978
18,black and white,0.042172443014657064
18,ink,0.03423906433963593
18,fish,0.0330160584945762
18,bird,0.030367300152927598
18,monochrome,0.02719216616330989
19,linedrawing,0.18007297813892365
19,animal,0.18007297813892365
19,illustration,0.07781103715100224
19,art,0.049817921888069695
19,sketch,0.04753763617349933
19,drawing,0.045452745600903594
19,fish,0.04424006798753466
19,bird,0.04090023661248297
19,black and white,0.0287652238915308
19,ink,0.023559197349066363
19,owl,0.021908422815521505
20,animal,0.1806422770023346
20,illustration,0.11329256743192673
20,sketch,0.10121725499629974
20,drawing,0.08997445553541183
20,art,0.06945403665304184
20,black and white,0.0460331030189991
20,ink,0.04519559442996979
20,fish,0.04482399672269821
20,bird,0.040525589138269424
21,animal,0.21252529323101044
21,illustration,0.11311108618974686
21,sketch,0.09075990319252014
21,drawing,0.08877962082624435
21,fish,0.06259164214134216
21,art,0.0564875453710556
21,bird,0.047572772949934006
21,black and white,0.04575958102941513
21,ink,0.03414931148290634
22,animal,0.24559253454208374
22,illustration,0.09779845923185349
22,sketch,0.08158387243747711
22,drawing,0.07848366349935532
22,fish,0.062718465924263
22,bird,0.0538192018866539
22,art,0.05289458855986595
22,black and white,0.04093240201473236
22,ink,0.03273520991206169
23,animal,0.24080993235111237
23,illustration,0.10686273127794266
23,sketch,0.08061415702104568
23,drawing,0.0685238316655159
23,bird,0.058740124106407166
23,fish,0.05364025756716728
23,art,0.0451311357319355
23,black and white,0.044862158596515656
23,owl,0.0370899923145771
23,ink,0.03169822692871094
23,monochrome,0.030079273506999016
24,animal,0.30911344289779663
24,illustration,0.08892004191875458
24,fish,0.07732030004262924
24,drawing,0.06340107321739197
24,sketch,0.053814925253391266
24,bird,0.05114709585905075
24,black and white,0.04984334483742714
24,art,0.0345778651535511
25,animal,0.22863160073757172
25,illustration,0.0862649604678154
25,sketch,0.0793876051902771
25,bird,0.06485411524772644
25,drawing,0.06464792788028717
25,fish,0.05656212940812111
25,black and white,0.05597138777375221
25,art,0.05455460026860237
25,ink,0.036847926676273346
25,monochrome,0.033553265035152435
26,vegetable,0.09807085245847702
26,animal,0.09807085245847702
26,drawing,0.05178854610836382
26,illustration,0.04906421455972958
26,sketch,0.04284790513151313
26,art,0.030021287421577263
26,bird,0.02668374003659302
26,black and white,0.022013741925479405
26,ink,0.019546870395485555
26,fish,0.01641122730459045
26,monochrome,0.015732871771281853
27,animal,0.8477800488471985
27,illustration,0.2770903589984625
27,bird,0.2565224633007435
27,drawing,0.24320969484977298
27,sketch,0.2107073799501143
27,art,0.2017710111331093
27,fish,0.19074169036604602
27,black and white,0.15536380311555745
27,ink,0.1141589166138546
27,monochrome,0.10259279087419199
28,animal,0.2731848657131195
28,bird,0.0852431133389473
28,illustration,0.07423926889896393
28,drawing,0.06857960671186447
28,fish,0.05737701803445816
28,sketch,0.05665358155965805
28,black and white,0.04738163575530052
28,art,0.044660937041044235
28,monochrome,0.03475123643875122
28,ink,0.030721871182322502
29,animal,0.8724363446235657
29,rodent,0.2070734202861786
29,bird,0.05707007300279568
29,drawing,0.052166913025596326
29,illustration,0.04599786601902581
29,fish,0.040994379330873965
29,sketch,0.03678804478854358
